make,61759
people,57914
use,55152
time,53483
dont,51875
--,46456
work,45847
like,45802
want,43459
need,41002
jury,38880
way,35032
know,33986
take,32355
good,32256
because,31683
using,30452
see,30197
im,29967
go,28507
youre,28364
duty,27379
help,27174
right,26397
new,24561
well,24339
think,23324
find,23272
add,22694
really,22649
sure,21525
going,21418
day,20687
step,20479
try,20341
say,19668
money,19010
great,18945
patients,18636
case,18568
own,18561
best,18420
person,18370
create,18343
look,18257
start,18229
screen,17672
email,17583
treatment,17300
number,17267
name,17231
same,17098
used,16968
important,16723
file,16666
things,16162
page,15949
cant,15944
little,15906
years,15893
click,15694
put,15579
save,15471
small,15029
risk,14935
pay,14923
lot,14787
keep,14699
place,14497
different,14382
give,14283
better,14208
ive,14142
open,14141
point,14096
article,14023
set,14018
come,13988
example,13799
change,13583
thanks,13405
called,13326
top,13314
business,13258
information,13205
results,13173
home,13172
making,13148
trial,12980
mac,12947
problem,12933
thats,12770
control,12770
life,12740
youll,12722
cut,12635
able,12548
select,12487
doesnt,12306
list,12113
thing,11846
web,11840
feel,11808
made,11776
simple,11520
html,11415
credit,11183
show,11132
link,11091
button,10979
easy,10970
system,10942
times,10826
part,10814
whether,10806
mail,10782
actually,10737
image,10719
left,10658
product,10641
widget,10588
end,10562
said,10491
friends,10444
likely,10300
ask,10255
site,10202
didnt,10198
idea,10172
days,10146
online,10102
anyone,10089
card,10077
program,9961
leave,9950
long,9853
working,9829
side,9780
youve,9776
post,9706
serve,9684
programs,9675
size,9612
provide,9602
ideas,9578
print,9566
following,9543
simply,9461
group,9438
love,9425
possible,9393
type,9344
key,9328
away,9300
year,9282
trying,9193
tutorial,9094
free,8997
tell,8903
care,8885
support,8837
bit,8837
please,8761
read,8759
large,8735
photoshop,8679
animal,8620
job,8567
check,8535
confidence,8516
usually,8412
instead,8350
windows,8313
process,8281
lunch,8206
code,8205
available,8193
remember,8193
question,8187
company,8183
effect,8131
consider,8114
big,8112
move,8090
note,8081
water,8016
text,7981
course,7937
line,7930
ways,7878
study,7871
hand,7848
high,7820
talk,7776
plan,7759
animation,7745
[],7733
found,7722
makes,7722
figure,7718
gif,7705
pc,7680
works,7619
hair,7617
apply,7594
needed,7524
choose,7522
let,7521
together,7498
window,7429
internet,7415
wont,7413
run,7393
looking,7347
worked,7322
service,7267
form,7243
